,Algorithm,CandidatesNum,PopulationSize,Alpha,IterationNumber,Result
0,4,5,5,0.05,5,5.0
1,4,5,5,0.05,10,4.8
2,4,5,5,0.05,15,4.4
3,4,5,5,0.05,20,4.8
4,4,5,5,0.05,25,5.0
5,4,5,5,0.05,30,4.4
6,4,5,5,0.05,35,4.6
7,4,5,5,0.05,40,4.6
8,4,5,5,0.05,45,4.6
9,4,5,5,0.05,50,4.4
10,4,5,5,0.1,5,4.6
11,4,5,5,0.1,10,4.8
12,4,5,5,0.1,15,4.6
13,4,5,5,0.1,20,4.8
14,4,5,5,0.1,25,4.8
15,4,5,5,0.1,30,4.8
16,4,5,5,0.1,35,4.8
17,4,5,5,0.1,40,5.0
18,4,5,5,0.1,45,4.6
19,4,5,5,0.1,50,4.6
20,4,5,5,0.15,5,4.6
21,4,5,5,0.15,10,5.0
22,4,5,5,0.15,15,4.6
23,4,5,5,0.15,20,4.8
24,4,5,5,0.15,25,4.6
25,4,5,5,0.15,30,5.0
26,4,5,5,0.15,35,4.6
27,4,5,5,0.15,40,4.6
28,4,5,5,0.15,45,4.4
29,4,5,5,0.15,50,4.6
30,4,5,5,0.2,5,5.0
31,4,5,5,0.2,10,5.0
32,4,5,5,0.2,15,4.2
33,4,5,5,0.2,20,4.6
34,4,5,5,0.2,25,4.6
35,4,5,5,0.2,30,4.2
36,4,5,5,0.2,35,4.8
37,4,5,5,0.2,40,4.8
38,4,5,5,0.2,45,4.4
39,4,5,5,0.2,50,4.4
40,4,5,5,0.25,5,4.6
41,4,5,5,0.25,10,4.6
42,4,5,5,0.25,15,4.8
43,4,5,5,0.25,20,5.0
44,4,5,5,0.25,25,4.6
45,4,5,5,0.25,30,4.6
46,4,5,5,0.25,35,4.8
47,4,5,5,0.25,40,4.2
48,4,5,5,0.25,45,4.8
49,4,5,5,0.25,50,4.4
50,4,5,5,0.3,5,5.0
51,4,5,5,0.3,10,4.8
52,4,5,5,0.3,15,4.8
53,4,5,5,0.3,20,4.8
54,4,5,5,0.3,25,4.6
55,4,5,5,0.3,30,4.6
56,4,5,5,0.3,35,4.6
57,4,5,5,0.3,40,5.0
58,4,5,5,0.3,45,4.2
59,4,5,5,0.3,50,4.8
60,4,5,10,0.05,5,4.8
61,4,5,10,0.05,10,4.8
62,4,5,10,0.05,15,4.6
63,4,5,10,0.05,20,4.8
64,4,5,10,0.05,25,4.4
65,4,5,10,0.05,30,4.8
66,4,5,10,0.05,35,4.4
67,4,5,10,0.05,40,4.4
68,4,5,10,0.05,45,4.8
69,4,5,10,0.05,50,4.6
70,4,5,10,0.1,5,5.0
71,4,5,10,0.1,10,4.2
72,4,5,10,0.1,15,4.4
73,4,5,10,0.1,20,4.4
74,4,5,10,0.1,25,4.8
75,4,5,10,0.1,30,4.6
76,4,5,10,0.1,35,4.6
77,4,5,10,0.1,40,4.2
78,4,5,10,0.1,45,5.0
79,4,5,10,0.1,50,4.6
80,4,5,10,0.15,5,4.8
81,4,5,10,0.15,10,4.8
82,4,5,10,0.15,15,4.8
83,4,5,10,0.15,20,4.2
84,4,5,10,0.15,25,4.6
85,4,5,10,0.15,30,4.6
86,4,5,10,0.15,35,4.6
87,4,5,10,0.15,40,4.4
88,4,5,10,0.15,45,4.8
89,4,5,10,0.15,50,4.8
90,4,5,10,0.2,5,4.8
91,4,5,10,0.2,10,4.8
92,4,5,10,0.2,15,5.0
93,4,5,10,0.2,20,4.8
94,4,5,10,0.2,25,4.4
95,4,5,10,0.2,30,4.8
96,4,5,10,0.2,35,4.2
97,4,5,10,0.2,40,5.0
98,4,5,10,0.2,45,4.6
99,4,5,10,0.2,50,4.6
100,4,5,10,0.25,5,4.4
101,4,5,10,0.25,10,4.8
102,4,5,10,0.25,15,4.4
103,4,5,10,0.25,20,4.8
104,4,5,10,0.25,25,4.6
105,4,5,10,0.25,30,4.8
106,4,5,10,0.25,35,4.4
107,4,5,10,0.25,40,4.4
108,4,5,10,0.25,45,4.6
109,4,5,10,0.25,50,4.8
110,4,5,10,0.3,5,5.0
111,4,5,10,0.3,10,4.2
112,4,5,10,0.3,15,4.8
113,4,5,10,0.3,20,4.4
114,4,5,10,0.3,25,4.4
115,4,5,10,0.3,30,4.2
116,4,5,10,0.3,35,4.4
117,4,5,10,0.3,40,4.6
118,4,5,10,0.3,45,4.8
119,4,5,10,0.3,50,4.6
120,4,5,15,0.05,5,4.6
121,4,5,15,0.05,10,4.8
122,4,5,15,0.05,15,4.6
123,4,5,15,0.05,20,4.6
124,4,5,15,0.05,25,4.8
125,4,5,15,0.05,30,4.8
126,4,5,15,0.05,35,4.6
127,4,5,15,0.05,40,4.4
128,4,5,15,0.05,45,4.8
129,4,5,15,0.05,50,4.4
130,4,5,15,0.1,5,4.8
131,4,5,15,0.1,10,4.6
132,4,5,15,0.1,15,4.6
133,4,5,15,0.1,20,4.4
134,4,5,15,0.1,25,4.4
135,4,5,15,0.1,30,5.0
136,4,5,15,0.1,35,4.6
137,4,5,15,0.1,40,4.8
138,4,5,15,0.1,45,4.2
139,4,5,15,0.1,50,4.6
140,4,5,15,0.15,5,4.8
141,4,5,15,0.15,10,4.8
142,4,5,15,0.15,15,4.4
143,4,5,15,0.15,20,4.8
144,4,5,15,0.15,25,4.6
145,4,5,15,0.15,30,4.8
146,4,5,15,0.15,35,4.8
147,4,5,15,0.15,40,4.6
148,4,5,15,0.15,45,4.8
149,4,5,15,0.15,50,4.6
150,4,5,15,0.2,5,4.4
151,4,5,15,0.2,10,4.4
152,4,5,15,0.2,15,4.6
153,4,5,15,0.2,20,4.8
154,4,5,15,0.2,25,5.0
155,4,5,15,0.2,30,4.2
156,4,5,15,0.2,35,4.2
157,4,5,15,0.2,40,4.8
158,4,5,15,0.2,45,4.4
159,4,5,15,0.2,50,4.6
160,4,5,15,0.25,5,4.2
161,4,5,15,0.25,10,4.8
162,4,5,15,0.25,15,4.6
163,4,5,15,0.25,20,5.0
164,4,5,15,0.25,25,4.8
165,4,5,15,0.25,30,4.6
166,4,5,15,0.25,35,4.4
167,4,5,15,0.25,40,4.6
168,4,5,15,0.25,45,4.8
169,4,5,15,0.25,50,4.6
170,4,5,15,0.3,5,4.4
171,4,5,15,0.3,10,4.4
172,4,5,15,0.3,15,4.4
173,4,5,15,0.3,20,4.6
174,4,5,15,0.3,25,5.0
175,4,5,15,0.3,30,4.8
176,4,5,15,0.3,35,5.0
177,4,5,15,0.3,40,4.2
178,4,5,15,0.3,45,4.8
179,4,5,15,0.3,50,5.0
180,4,5,20,0.05,5,4.4
181,4,5,20,0.05,10,5.0
182,4,5,20,0.05,15,4.8
183,4,5,20,0.05,20,4.6
184,4,5,20,0.05,25,4.8
185,4,5,20,0.05,30,4.4
186,4,5,20,0.05,35,4.2
187,4,5,20,0.05,40,4.4
188,4,5,20,0.05,45,4.6
189,4,5,20,0.05,50,4.6
190,4,5,20,0.1,5,5.0
191,4,5,20,0.1,10,4.8
192,4,5,20,0.1,15,4.2
193,4,5,20,0.1,20,4.6
194,4,5,20,0.1,25,4.4
195,4,5,20,0.1,30,4.8
196,4,5,20,0.1,35,4.8
197,4,5,20,0.1,40,4.8
198,4,5,20,0.1,45,5.0
199,4,5,20,0.1,50,4.8
200,4,5,20,0.15,5,4.2
201,4,5,20,0.15,10,4.4
202,4,5,20,0.15,15,4.6
203,4,5,20,0.15,20,5.0
204,4,5,20,0.15,25,4.8
205,4,5,20,0.15,30,4.8
206,4,5,20,0.15,35,4.4
207,4,5,20,0.15,40,4.4
208,4,5,20,0.15,45,4.4
209,4,5,20,0.15,50,4.4
210,4,5,20,0.2,5,4.8
211,4,5,20,0.2,10,4.6
212,4,5,20,0.2,15,4.8
213,4,5,20,0.2,20,4.8
214,4,5,20,0.2,25,4.2
215,4,5,20,0.2,30,4.4
216,4,5,20,0.2,35,4.6
217,4,5,20,0.2,40,4.6
218,4,5,20,0.2,45,4.8
219,4,5,20,0.2,50,4.8
220,4,5,20,0.25,5,4.8
221,4,5,20,0.25,10,4.8
222,4,5,20,0.25,15,4.6
223,4,5,20,0.25,20,4.4
224,4,5,20,0.25,25,4.8
225,4,5,20,0.25,30,4.2
226,4,5,20,0.25,35,4.8
227,4,5,20,0.25,40,4.4
228,4,5,20,0.25,45,4.6
229,4,5,20,0.25,50,4.6
