,Algorithm,CandidatesNum,Result
0,1,10,5.15
1,1,30,4.45
2,1,50,4.25
3,1,70,4.1
4,1,90,4.15
5,1,110,4.05
6,1,130,4.0
7,1,150,4.0
8,1,170,4.0
9,1,190,4.0
10,1,210,4.0
11,1,230,4.0
12,1,250,4.0
13,1,270,4.0
14,1,290,4.0
15,1,310,4.0
16,1,330,4.0
17,1,350,4.0
18,1,370,4.0
19,1,390,4.0
20,1,410,4.0
21,1,430,4.0
22,1,450,4.0
23,1,470,4.0
24,1,490,4.0
25,2,10,5.55
26,2,30,6.7
27,2,50,6.05
28,2,70,6.15
29,2,90,6.1
30,2,110,5.85
31,2,130,5.75
32,2,150,6.0
33,2,170,5.9
34,2,190,6.0
35,2,210,5.95
36,2,230,6.0
37,2,250,6.35
38,2,270,6.3
39,2,290,6.25
40,2,310,6.2
41,2,330,5.9
42,2,350,6.35
43,2,370,6.5
44,2,390,5.85
45,2,410,6.05
46,2,430,5.9
47,2,450,6.0
48,2,470,5.95
49,2,490,6.0
50,3,10,6.85
51,3,30,6.8
52,3,50,6.75
53,3,70,7.0
54,3,90,7.0
55,3,110,6.7
56,3,130,6.8
57,3,150,6.9
58,3,170,6.5
59,3,190,6.65
60,3,210,7.35
61,3,230,6.75
62,3,250,6.45
63,3,270,6.55
64,3,290,6.95
65,3,310,6.55
66,3,330,6.95
67,3,350,6.6
68,3,370,6.6
69,3,390,6.7
70,3,410,6.75
71,3,430,7.15
72,3,450,7.05
73,3,470,6.8
74,3,490,6.6
