,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
0,1,10,2,2,0.0
1,1,10,2,3,0.0
2,1,10,2,4,0.0
3,1,10,2,5,0.0019943714141845703
4,1,10,2,6,0.0009968280792236328
5,1,10,3,2,0.0
6,1,10,3,3,0.0009970664978027344
7,1,10,3,4,0.000997304916381836
8,1,10,3,5,0.0
9,1,10,3,6,0.000997304916381836
10,1,10,4,2,0.000997304916381836
11,1,10,4,3,0.0
12,1,10,4,4,0.0009968280792236328
13,1,10,4,5,0.000997304916381836
14,1,10,4,6,0.019946575164794922
15,1,10,5,2,0.0
16,1,10,5,3,0.0
17,1,10,5,4,0.0009980201721191406
18,1,10,5,5,0.002991914749145508
19,1,10,5,6,0.01595783233642578
20,1,10,6,2,0.0
21,1,10,6,3,0.0009984970092773438
22,1,10,6,4,0.0009729862213134766
23,1,10,6,5,0.0019953250885009766
24,1,10,6,6,0.501657247543335
25,1,10,7,2,0.0
26,1,10,7,3,0.000997304916381836
27,1,10,7,4,0.0009975433349609375
28,1,10,7,5,0.022940397262573242
29,1,10,7,6,1.8495185375213623
30,1,30,2,2,0.0009965896606445312
31,1,30,2,3,0.0
32,1,30,2,4,0.0019953250885009766
33,1,30,2,5,0.0019948482513427734
34,1,30,2,6,0.001993894577026367
35,1,30,3,2,0.0009982585906982422
36,1,30,3,3,0.000997304916381836
37,1,30,3,4,0.0010166168212890625
38,1,30,3,5,0.0019953250885009766
39,1,30,3,6,0.0029914379119873047
40,1,30,4,2,0.0009980201721191406
41,1,30,4,3,0.0009982585906982422
42,1,30,4,4,0.0009970664978027344
43,1,30,4,5,0.002991914749145508
44,1,30,4,6,0.002991199493408203
45,1,30,5,2,0.00101470947265625
46,1,30,5,3,0.0019767284393310547
47,1,30,5,4,0.002991914749145508
48,1,30,5,5,0.0029926300048828125
49,1,30,5,6,0.003989219665527344
50,1,30,6,2,0.0009765625
51,1,30,6,3,0.002023935317993164
52,1,30,6,4,0.002962350845336914
53,1,30,6,5,0.0029900074005126953
54,1,30,6,6,0.004987478256225586
55,1,30,7,2,0.0019719600677490234
56,1,30,7,3,0.0029926300048828125
57,1,30,7,4,0.0029914379119873047
58,1,30,7,5,0.004986763000488281
59,1,30,7,6,0.005984067916870117
60,1,50,2,2,0.0009744167327880859
61,1,50,2,3,0.0020084381103515625
62,1,50,2,4,0.0020008087158203125
63,1,50,2,5,0.0019941329956054688
64,1,50,2,6,0.001993417739868164
65,1,50,3,2,0.000997304916381836
66,1,50,3,3,0.0010061264038085938
67,1,50,3,4,0.002012491226196289
68,1,50,3,5,0.0019652843475341797
69,1,50,3,6,0.0039899349212646484
70,1,50,4,2,0.0009748935699462891
71,1,50,4,3,0.001993894577026367
72,1,50,4,4,0.0029909610748291016
73,1,50,4,5,0.0039899349212646484
74,1,50,4,6,0.005987644195556641
75,1,50,5,2,0.000997304916381836
76,1,50,5,3,0.001993894577026367
77,1,50,5,4,0.00399017333984375
78,1,50,5,5,0.004987239837646484
79,1,50,5,6,0.004972696304321289
80,1,50,6,2,0.002991914749145508
81,1,50,6,3,0.003002166748046875
82,1,50,6,4,0.00396275520324707
83,1,50,6,5,0.0069844722747802734
84,1,50,6,6,0.007961750030517578
85,1,50,7,2,0.0029926300048828125
86,1,50,7,3,0.0029754638671875
87,1,50,7,4,0.0059757232666015625
88,1,50,7,5,0.007996082305908203
89,1,50,7,6,0.008004188537597656
90,1,70,2,2,0.0009989738464355469
91,1,70,2,3,0.0009980201721191406
92,1,70,2,4,0.001981973648071289
93,1,70,2,5,0.003988742828369141
94,1,70,2,6,0.0039882659912109375
95,1,70,3,2,0.0019843578338623047
96,1,70,3,3,0.002991199493408203
97,1,70,3,4,0.003988981246948242
98,1,70,3,5,0.003988981246948242
99,1,70,3,6,0.004986286163330078
100,1,70,4,2,0.0019941329956054688
101,1,70,4,3,0.002991914749145508
102,1,70,4,4,0.0029914379119873047
103,1,70,4,5,0.004986286163330078
104,1,70,4,6,0.005983829498291016
105,1,70,5,2,0.0019948482513427734
106,1,70,5,3,0.003988981246948242
107,1,70,5,4,0.005984067916870117
108,1,70,5,5,0.007978439331054688
109,1,70,5,6,0.007978200912475586
110,1,70,6,2,0.0019943714141845703
111,1,70,6,3,0.004986763000488281
112,1,70,6,4,0.0059833526611328125
113,1,70,6,5,0.008975505828857422
114,1,70,6,6,0.012965202331542969
115,1,70,7,2,0.0029916763305664062
116,1,70,7,3,0.005984067916870117
117,1,70,7,4,0.008975744247436523
118,1,70,7,5,0.009973287582397461
119,1,70,7,6,0.013962268829345703
120,1,90,2,2,0.0020928382873535156
121,1,90,2,3,0.002991199493408203
122,1,90,2,4,0.0029916763305664062
123,1,90,2,5,0.003988742828369141
124,1,90,2,6,0.00498652458190918
125,1,90,3,2,0.001994609832763672
126,1,90,3,3,0.0019941329956054688
127,1,90,3,4,0.00498652458190918
128,1,90,3,5,0.005984067916870117
129,1,90,3,6,0.007978677749633789
130,1,90,4,2,0.0020072460174560547
131,1,90,4,3,0.0039882659912109375
132,1,90,4,4,0.00698089599609375
133,1,90,4,5,0.006981372833251953
134,1,90,4,6,0.008975744247436523
135,1,90,5,2,0.002991914749145508
136,1,90,5,3,0.00498652458190918
137,1,90,5,4,0.007978677749633789
138,1,90,5,5,0.007978200912475586
139,1,90,5,6,0.00997304916381836
140,1,90,6,2,0.001993894577026367
141,1,90,6,3,0.005983829498291016
142,1,90,6,4,0.007978200912475586
143,1,90,6,5,0.009973287582397461
144,1,90,6,6,0.012964963912963867
145,1,90,7,2,0.0029921531677246094
146,1,90,7,3,0.00698089599609375
147,1,90,7,4,0.010969877243041992
148,1,90,7,5,0.01296544075012207
149,1,90,7,6,0.014959335327148438
150,1,110,2,2,0.001994609832763672
151,1,110,2,3,0.0029914379119873047
152,1,110,2,4,0.004986763000488281
153,1,110,2,5,0.00498652458190918
154,1,110,2,6,0.005983591079711914
155,1,110,3,2,0.0019948482513427734
156,1,110,3,3,0.002991914749145508
157,1,110,3,4,0.00498652458190918
158,1,110,3,5,0.005984306335449219
159,1,110,3,6,0.0069811344146728516
160,1,110,4,2,0.001994609832763672
161,1,110,4,3,0.003988981246948242
162,1,110,4,4,0.00698089599609375
163,1,110,4,5,0.007978439331054688
164,1,110,4,6,0.009973287582397461
165,1,110,5,2,0.002991914749145508
166,1,110,5,3,0.006981372833251953
167,1,110,5,4,0.007978200912475586
168,1,110,5,5,0.010970592498779297
169,1,110,5,6,0.013962745666503906
170,1,110,6,2,0.0029916763305664062
171,1,110,6,3,0.0069811344146728516
172,1,110,6,4,0.008975505828857422
173,1,110,6,5,0.013962030410766602
174,1,110,6,6,0.014959573745727539
175,1,110,7,2,0.005983591079711914
176,1,110,7,3,0.007978439331054688
177,1,110,7,4,0.009973287582397461
178,1,110,7,5,0.015957355499267578
179,1,110,7,6,0.01795196533203125
180,1,130,2,2,0.0019948482513427734
181,1,130,2,3,0.0029916763305664062
182,1,130,2,4,0.004986763000488281
183,1,130,2,5,0.005984067916870117
184,1,130,2,6,0.006980180740356445
185,1,130,3,2,0.0019943714141845703
186,1,130,3,3,0.003989219665527344
187,1,130,3,4,0.00698089599609375
188,1,130,3,5,0.008975982666015625
189,1,130,3,6,0.009972810745239258
190,1,130,4,2,0.001994609832763672
191,1,130,4,3,0.00498652458190918
192,1,130,4,4,0.0069811344146728516
193,1,130,4,5,0.00997304916381836
194,1,130,4,6,0.01196742057800293
195,1,130,5,2,0.0029916763305664062
196,1,130,5,3,0.007978200912475586
197,1,130,5,4,0.008975744247436523
198,1,130,5,5,0.011967897415161133
199,1,130,5,6,0.01695418357849121
200,1,130,6,2,0.003989458084106445
201,1,130,6,3,0.008975744247436523
202,1,130,6,4,0.010970115661621094
203,1,130,6,5,0.015956878662109375
204,1,130,6,6,0.017951488494873047
205,1,130,7,2,0.00698089599609375
206,1,130,7,3,0.010970354080200195
207,1,130,7,4,0.013469457626342773
208,1,130,7,5,0.018949031829833984
209,1,130,7,6,0.021940946578979492
210,1,150,2,2,0.0029921531677246094
211,1,150,2,3,0.0029773712158203125
212,1,150,2,4,0.005984067916870117
