,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
0,1,10,2,2,2.0
1,1,10,2,3,3.4
2,1,10,2,4,4.4
3,1,10,2,5,5.8
4,1,10,2,6,7.3
5,1,10,3,2,2.3
6,1,10,3,3,4.0
7,1,10,3,4,5.7
8,1,10,3,5,6.4
9,1,10,3,6,8.1
10,1,10,4,2,2.6
11,1,10,4,3,4.2
12,1,10,4,4,6.1
13,1,10,4,5,7.3
14,1,10,4,6,8.3
15,1,10,5,2,2.9
16,1,10,5,3,4.8
17,1,10,5,4,6.3
18,1,10,5,5,7.8
19,1,10,5,6,8.5
20,1,10,6,2,3.2
21,1,10,6,3,4.8
22,1,10,6,4,6.9
23,1,10,6,5,8.3
24,1,10,6,6,9.3
25,1,10,7,2,3.2
26,1,10,7,3,5.1
27,1,10,7,4,7.4
28,1,10,7,5,8.4
29,1,10,7,6,9.3
30,1,30,2,2,2.0
31,1,30,2,3,3.1
32,1,30,2,4,4.2
33,1,30,2,5,5.5
34,1,30,2,6,7.0
35,1,30,3,2,2.0
36,1,30,3,3,3.4
37,1,30,3,4,4.9
38,1,30,3,5,6.2
39,1,30,3,6,7.6
40,1,30,4,2,2.1
41,1,30,4,3,3.8
42,1,30,4,4,4.9
43,1,30,4,5,6.4
44,1,30,4,6,8.5
45,1,30,5,2,2.5
46,1,30,5,3,4.0
47,1,30,5,4,5.4
48,1,30,5,5,7.1
49,1,30,5,6,8.9
50,1,30,6,2,2.7
51,1,30,6,3,4.1
52,1,30,6,4,5.7
53,1,30,6,5,7.2
54,1,30,6,6,9.7
55,1,30,7,2,2.8
56,1,30,7,3,4.2
57,1,30,7,4,6.3
58,1,30,7,5,8.0
59,1,30,7,6,9.9
60,1,50,2,2,2.0
61,1,50,2,3,3.0
62,1,50,2,4,4.0
63,1,50,2,5,5.3
64,1,50,2,6,6.6
65,1,50,3,2,2.0
66,1,50,3,3,3.2
67,1,50,3,4,4.7
68,1,50,3,5,5.8
69,1,50,3,6,7.2
70,1,50,4,2,2.1
71,1,50,4,3,3.5
72,1,50,4,4,4.8
73,1,50,4,5,6.4
74,1,50,4,6,7.8
75,1,50,5,2,2.0
76,1,50,5,3,3.7
77,1,50,5,4,5.4
78,1,50,5,5,6.8
79,1,50,5,6,8.4
80,1,50,6,2,2.3
81,1,50,6,3,3.9
82,1,50,6,4,5.4
83,1,50,6,5,7.0
84,1,50,6,6,8.5
85,1,50,7,2,2.8
86,1,50,7,3,4.0
87,1,50,7,4,5.8
88,1,50,7,5,7.4
89,1,50,7,6,9.1
90,1,70,2,2,2.0
91,1,70,2,3,3.0
92,1,70,2,4,4.0
93,1,70,2,5,5.1
94,1,70,2,6,6.4
95,1,70,3,2,2.0
96,1,70,3,3,3.2
97,1,70,3,4,4.4
98,1,70,3,5,5.6
99,1,70,3,6,6.8
100,1,70,4,2,2.0
101,1,70,4,3,3.5
102,1,70,4,4,5.0
103,1,70,4,5,6.1
104,1,70,4,6,7.2
105,1,70,5,2,2.2
106,1,70,5,3,4.0
107,1,70,5,4,5.1
108,1,70,5,5,6.4
109,1,70,5,6,8.0
110,1,70,6,2,2.5
111,1,70,6,3,4.0
112,1,70,6,4,5.4
113,1,70,6,5,6.7
114,1,70,6,6,8.6
115,1,70,7,2,2.7
116,1,70,7,3,4.0
117,1,70,7,4,5.6
118,1,70,7,5,7.0
119,1,70,7,6,8.8
120,1,90,2,2,2.0
121,1,90,2,3,3.0
122,1,90,2,4,4.0
123,1,90,2,5,5.0
124,1,90,2,6,6.2
125,1,90,3,2,2.0
126,1,90,3,3,3.0
127,1,90,3,4,4.3
128,1,90,3,5,5.8
129,1,90,3,6,6.7
130,1,90,4,2,2.0
131,1,90,4,3,3.2
132,1,90,4,4,4.5
133,1,90,4,5,5.8
134,1,90,4,6,7.1
135,1,90,5,2,2.0
136,1,90,5,3,3.8
137,1,90,5,4,4.8
138,1,90,5,5,6.2
139,1,90,5,6,7.8
140,1,90,6,2,2.1
141,1,90,6,3,3.9
142,1,90,6,4,5.0
143,1,90,6,5,6.4
144,1,90,6,6,8.0
145,1,90,7,2,2.6
146,1,90,7,3,4.0
147,1,90,7,4,5.2
148,1,90,7,5,7.0
149,1,90,7,6,8.7
150,1,110,2,2,2.0
151,1,110,2,3,3.0
152,1,110,2,4,4.0
153,1,110,2,5,5.0
154,1,110,2,6,6.0
155,1,110,3,2,2.0
156,1,110,3,3,3.0
157,1,110,3,4,4.2
158,1,110,3,5,5.6
159,1,110,3,6,6.7
160,1,110,4,2,2.0
161,1,110,4,3,3.1
162,1,110,4,4,4.6
163,1,110,4,5,6.1
164,1,110,4,6,7.0
165,1,110,5,2,2.0
166,1,110,5,3,3.8
167,1,110,5,4,4.9
168,1,110,5,5,6.0
169,1,110,5,6,7.6
170,1,110,6,2,2.1
171,1,110,6,3,3.9
172,1,110,6,4,5.1
173,1,110,6,5,6.4
174,1,110,6,6,8.0
175,1,110,7,2,2.2
176,1,110,7,3,4.0
177,1,110,7,4,5.0
178,1,110,7,5,6.7
179,1,110,7,6,8.3
180,1,130,2,2,2.0
181,1,130,2,3,3.0
182,1,130,2,4,4.0
183,1,130,2,5,5.0
184,1,130,2,6,6.0
185,1,130,3,2,2.0
186,1,130,3,3,3.0
187,1,130,3,4,4.2
188,1,130,3,5,5.5
189,1,130,3,6,6.8
190,1,130,4,2,2.0
191,1,130,4,3,3.4
192,1,130,4,4,4.9
193,1,130,4,5,5.9
194,1,130,4,6,7.1
195,1,130,5,2,2.0
196,1,130,5,3,3.6
197,1,130,5,4,4.8
198,1,130,5,5,6.1
199,1,130,5,6,7.4
200,1,130,6,2,2.1
201,1,130,6,3,3.7
202,1,130,6,4,5.1
203,1,130,6,5,6.4
204,1,130,6,6,7.7
205,1,130,7,2,2.5
206,1,130,7,3,3.9
207,1,130,7,4,5.0
208,1,130,7,5,6.7
209,1,130,7,6,8.0
210,1,150,2,2,2.0
211,1,150,2,3,3.0
212,1,150,2,4,4.0
213,1,150,2,5,5.0
214,1,150,2,6,6.1
215,1,150,3,2,2.0
216,1,150,3,3,3.0
217,1,150,3,4,4.1
218,1,150,3,5,5.2
219,1,150,3,6,6.4
220,1,150,4,2,2.0
221,1,150,4,3,3.2
222,1,150,4,4,4.6
223,1,150,4,5,6.0
224,1,150,4,6,6.9
225,1,150,5,2,2.0
226,1,150,5,3,3.4
227,1,150,5,4,5.0
228,1,150,5,5,6.0
229,1,150,5,6,7.4
230,1,150,6,2,2.1
231,1,150,6,3,3.9
232,1,150,6,4,5.0
233,1,150,6,5,6.2
234,1,150,6,6,7.9
235,1,150,7,2,2.6
236,1,150,7,3,3.9
237,1,150,7,4,5.2
238,1,150,7,5,6.8
239,1,150,7,6,8.1
240,1,170,2,2,2.0
241,1,170,2,3,3.0
242,1,170,2,4,4.0
243,1,170,2,5,5.0
244,1,170,2,6,6.0
245,1,170,3,2,2.0
246,1,170,3,3,3.0
247,1,170,3,4,4.1
248,1,170,3,5,5.1
249,1,170,3,6,6.2
250,1,170,4,2,2.0
251,1,170,4,3,3.0
252,1,170,4,4,4.5
253,1,170,4,5,5.9
254,1,170,4,6,6.9
255,1,170,5,2,2.0
256,1,170,5,3,3.4
257,1,170,5,4,5.0
258,1,170,5,5,6.0
259,1,170,5,6,7.1
260,1,170,6,2,2.0
261,1,170,6,3,3.9
262,1,170,6,4,5.0
263,1,170,6,5,6.0
264,1,170,6,6,7.7
265,1,170,7,2,2.4
266,1,170,7,3,3.7
267,1,170,7,4,5.1
268,1,170,7,5,6.4
269,1,170,7,6,7.9
270,1,190,2,2,2.0
271,1,190,2,3,3.0
272,1,190,2,4,4.0
273,1,190,2,5,5.0
274,1,190,2,6,6.0
275,1,190,3,2,2.0
276,1,190,3,3,3.0
277,1,190,3,4,4.1
278,1,190,3,5,5.2
279,1,190,3,6,6.4
280,1,190,4,2,2.0
281,1,190,4,3,3.1
282,1,190,4,4,4.5
283,1,190,4,5,5.7
284,1,190,4,6,7.1
285,1,190,5,2,2.0
286,1,190,5,3,3.2
287,1,190,5,4,5.0
288,1,190,5,5,6.0
289,1,190,5,6,7.1
290,1,190,6,2,2.1
291,1,190,6,3,3.6
292,1,190,6,4,4.9
293,1,190,6,5,6.4
294,1,190,6,6,7.6
295,1,190,7,2,2.1
296,1,190,7,3,3.8
297,1,190,7,4,5.2
298,1,190,7,5,6.4
299,1,190,7,6,8.0
300,1,210,2,2,2.0
301,1,210,2,3,3.0
302,1,210,2,4,4.0
303,1,210,2,5,5.0
304,1,210,2,6,6.0
305,1,210,3,2,2.0
306,1,210,3,3,3.0
307,1,210,3,4,4.0
308,1,210,3,5,5.3
309,1,210,3,6,6.6
310,1,210,4,2,2.0
311,1,210,4,3,3.0
312,1,210,4,4,4.6
313,1,210,4,5,5.6
314,1,210,4,6,7.0
